domain,file,relPath,extends_AbstractBusinessTool,has_doExecute,factoryId_in_signature,factoryId_ref_count,suspicious_count,risk,reason
foodsafety,FoodSampleTraceTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/FoodSampleTraceTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
form,FormGenerationTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/form/FormGenerationTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
dataop,GenericDetailTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/GenericDetailTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
decoration,HomeLayoutGenerateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/decoration/HomeLayoutGenerateTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
decoration,HomeLayoutSuggestTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/decoration/HomeLayoutSuggestTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
decoration,HomeLayoutUpdateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/decoration/HomeLayoutUpdateTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
hr,HRDeleteEmployeeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/HRDeleteEmployeeTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
canvas,HttpCallTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/canvas/HttpCallTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
workdesk,IncomeStatementQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/workdesk/IncomeStatementQueryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
indicator,IndicatorAlertTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/indicator/IndicatorAlertTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
indicator,IndicatorComparisonTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/indicator/IndicatorComparisonTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
indicator,IndicatorQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/indicator/IndicatorQueryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
foodsafety,InventoryFreezeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/foodsafety/InventoryFreezeTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
dataop,InventoryOperationTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/dataop/InventoryOperationTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
finance,InvoiceApproveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/InvoiceApproveTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
finance,InvoiceRequestFromOrderTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/InvoiceRequestFromOrderTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
finance,InvoiceRequestTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/InvoiceRequestTool.java,true,true,true,1,0,LOW,"factoryId 被使用 1 次，无可疑模式"
finance,InvoiceStatusTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/finance/InvoiceStatusTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
isapi,IsapiDetectionEventsQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/isapi/IsapiDetectionEventsQueryTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
isapi,IsapiFieldDetectionConfigTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/isapi/IsapiFieldDetectionConfigTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
isapi,IsapiLineDetectionConfigTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/isapi/IsapiLineDetectionConfigTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
hr,LeaveBalanceQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/LeaveBalanceQueryTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
hr,LeaveRequestApproveTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/LeaveRequestApproveTool.java,true,true,true,7,0,LOW,"factoryId 被使用 7 次，无可疑模式"
hr,LeaveRequestQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/LeaveRequestQueryTool.java,true,true,true,7,0,LOW,"factoryId 被使用 7 次，无可疑模式"
hr,LeaveRequestSubmitTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/hr/LeaveRequestSubmitTool.java,true,true,true,7,0,LOW,"factoryId 被使用 7 次，无可疑模式"
lineage,LineageQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/lineage/LineageQueryTool.java,true,true,true,5,0,LOW,"factoryId 被使用 5 次，无可疑模式"
material,MaterialAdjustQuantityTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialAdjustQuantityTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialBatchConsumeTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchConsumeTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialBatchCreateTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchCreateTool.java,true,true,true,4,0,LOW,"factoryId 被使用 4 次，无可疑模式"
material,MaterialBatchDeleteTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchDeleteTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
material,MaterialBatchQueryTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchQueryTool.java,true,true,true,2,0,LOW,"factoryId 被使用 2 次，无可疑模式"
material,MaterialBatchReleaseTool.java,backend/java/cretas-api/src/main/java/com/cretas/aims/ai/tool/impl/material/MaterialBatchReleaseTool.java,true,true,true,3,0,LOW,"factoryId 被使用 3 次，无可疑模式"
